dependencia,Cantidad,Promedio,Desviación Estándar,Mínimo,Primer Cuartil,Mediana,Tercer Cuartil,Máximo
DIRECCION DE UNIDADES ACADEMICAS,2.0,48706.9,7710.546900499342,43254.72,45980.81,48706.9,51432.990000000005,54159.08
DIRECCIÓN DE INVESTIGACIÓN EDUCATIVA,32.0,30192.21499999999,24540.701894933514,11424.85,13195.33,14917.17,62321.932499999995,82985.33
DIRECCION RESPONSABILIDAD SOCIAL UNIVERSITARIA (SS),13.0,29785.79,23277.247290114654,9212.01,12552.53,13245.58,55426.41,59608.67
DIRECCIÓN ADMINISTRATIVA DE LA SIID,56.0,27286.847499999993,14274.005248167636,9464.53,12570.64,23606.875,41692.47,57692.99
DIRECCIÓN DE DESARROLLO DE MODELOS TECNOLÓGICOS,52.0,26102.060961538453,22565.88479961143,6704.95,7229.5025000000005,11746.13,51947.92,71969.19
RECTORIA,905.0,26054.081922651912,27316.325170061584,5467.78,9764.8,13805.18,23473.39,147051.59
DIRECCIÓN DE FORMACIÓN Y DESARROLLO PROFESIONAL,200.0,23187.062199999993,19533.705468509997,5442.52,11578.835000000001,13330.16,23237.975,83608.04
SECRETARIA DE SUSTENTABILIDAD,1026.0,21817.307339181305,21432.475724293705,2861.23,10517.210000000001,13478.145,18170.2175,125965.13
INST. DE INVESTIGACIONES SOCIALES,1313.0,20865.758842345786,11001.90073098697,5111.94,11944.81,19721.98,25553.05,81232.39
FAC. DE ING. MECANICA Y ELECTRICA,35035.0,20479.725817895865,11402.53051508202,297.42,11146.905,19061.1,28131.8,118943.89
FAC. DE CIENCIAS DE LA TIERRA,2954.0,20269.284715639857,14096.810237490767,1102.41,8632.3725,16247.51,28230.98,85538.87
DIRECCIÓN DE INNOVACIÓN EDUCATIVA,102.0,19551.64490196078,14014.10571922566,1972.5,10647.28,14147.78,25936.0675,72839.72
FAC. DE CIENCIAS BIOLOGICAS,15811.0,18374.859788122038,13441.71243647927,177.2,8550.52,14686.3,24406.775,144501.4
FAC. DE MEDICINA,34295.0,18330.532932789014,11872.347237149856,474.68,9261.54,15221.28,24443.29,129748.17
FAC. DE ECONOMIA,3045.0,18227.388272578035,12521.869187296254,742.43,8676.66,13330.16,25804.56,79018.64
CENTRO DE INCUBACION DE EMPRESAS Y TRANSF. DE TECNOLOGIA,739.0,18207.30456021654,14495.370612580115,1978.74,11492.14,14106.62,17884.059999999998,97124.87
SECRETARIA DE DESARROLLO AGROPECUARIO,295.0,18072.53637288137,21554.152172636135,2867.44,7555.004999999999,10372.98,15906.02,116779.36
ESCUELA PREPARATORIA #15,7945.0,17894.058250471975,9868.018638727763,698.05,10713.88,16165.1,22090.06,72693.55
CENTRO DE DESARROLLO EMPRESARIAL,182.0,17818.528241758253,13940.699041876525,4295.0,11369.497500000001,12818.64,15862.8975,70097.21
SECRETARÍA DE INNOVACIÓN Y DESARROLLO DIGITAL,377.0,17800.030928381962,18654.44827774522,2943.86,7991.48,9910.21,17169.33,102676.0
DIRECCION GENERAL ADMINISTRATIVA,909.0,17656.249548954896,14615.732972331896,962.7,8688.25,14082.22,19345.74,102812.53
SECRETARIA GENERAL,1497.0,17644.291503006,18066.825243745556,2329.22,8813.5,11186.04,15081.66,121781.67
SRIA. DE INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO,346.0,17638.83300578035,21135.85258128092,3438.75,8302.387499999999,10148.78,17250.945,120970.94
DIRECCION GENERAL DE PLANEACION Y PROYECTOS ESTRATEGICOS,1930.0,17544.987860103658,13681.907446285311,2902.05,9760.8025,13071.85,19681.93,112917.75
DIRECCIÓN DE INTERCAMBIO ACADÉMICO,343.0,17426.142769679278,11543.323471836613,312.9,11826.16,14000.51,16714.57,67001.52
DIRECCIÓN DE INNOVACIÓN Y EMPRENDIMIENTO,72.0,17395.441388888892,13166.878916955813,6590.64,7456.3275,13301.86,19940.84,58465.93
FAC. DE CIENCIAS FISICO-MATEMATICAS,11200.0,17389.044830357157,11026.517535020403,390.87,8183.3025,14546.41,26404.29,69929.26
DIRECCIÓN DE DESARROLLO INSTITUCIONAL ACADÉMICO,64.0,17075.35109375,5482.225689193608,5571.06,13011.157500000001,14170.325,21718.44,29949.51
DIRECCION DEL SISTEMA DE ESTUDIOS DE POSGRADO,395.0,17049.66402531646,11457.193623475612,4983.33,11043.349999999999,13289.47,17212.01,74481.53
DIRECCIÓN DE RELACIONES INTERNACIONALES,395.0,17020.192202531638,17893.82468545446,2897.66,8140.14,10567.55,15861.46,104341.4
FAC. DE AGRONOMIA,5645.0,16954.196380868034,12232.51147403307,381.94,8450.61,12928.38,21489.62,125886.32
FAC. DE CIENCIAS FORESTALES,4213.0,16802.128404937026,14714.282828658987,559.82,7207.59,10034.35,20021.82,85062.92
FAC. DE ODONTOLOGIA,7821.0,16754.41257639677,10983.647536169748,697.96,8416.04,13794.68,21909.32,86275.97
DEPARTAMENTO DE ADQUISICIONES,473.0,16628.7178858351,14136.712381802674,2767.84,10567.8,12697.1,15164.39,85787.13
FACULTAD DE TRABAJO SOCIAL Y DESARROLLO HUMANO,5039.0,16574.009230005835,11171.71292011044,383.88,8166.64,13233.12,22619.91,69673.32
DIRECCIÓN DE ADMINISTRACIÓN DE CALIDAD,80.0,16419.51887499998,10041.698111683843,10031.32,11155.445,11996.65,15917.9675,51832.66
FAC. DE CIENCIAS QUIMICAS,16092.0,16397.886150882638,10565.989950895852,408.75,7609.55,14165.759999999998,25553.05,95110.87
OFICINA DE LA ABOGACÍA GENERAL,1866.0,16386.420948553063,11826.362108247691,3620.12,9379.965,12191.994999999999,17718.85,79717.21
ESCUELA PREPARATORIA #17,1985.0,16301.607722921919,8715.857228452242,246.65,10538.09,14813.79,19112.85,56492.78
CONTRALORIA GENERAL,1029.0,16299.738921282817,11719.82462707417,3211.49,9082.7,12562.54,18820.55,87674.49
TESORERIA GENERAL,2860.0,16224.493451048931,10929.214816904725,245.38,9218.255000000001,12654.025000000001,18704.1625,87384.51
ESCUELA PREPARATORIA #23,4068.0,16211.191927236976,9011.962310538273,230.03,9608.3,14441.36,20302.5625,64881.6
DIRECCION DE COMUNICACION INSTITUCIONAL Y RELACIONES PUBLICAS,945.0,16073.970169312159,8686.356373023349,3182.87,11374.11,13480.61,17512.91,68118.1
UNIDAD DE TRANSPARENCIA,330.0,15935.450939393955,8058.354377034165,285.73,11927.925,13851.25,17069.1875,49809.89
CENTRO DE DESARROLLO DE AGRONEGOCIOS,187.0,15870.848074866315,7845.192212433308,7207.59,10413.3,12704.21,17996.235,45107.79
FACULTAD DE CIENCIAS POLÍTICAS Y RELACIONES INTERNACIONALES,8270.0,15844.477758161953,11240.711899333717,572.91,7980.5275,13652.055,20838.635000000002,78185.81
ESCUELA PREPARATORIA #20,2288.0,15796.398286713333,8117.558959372872,187.54,9734.002499999999,14250.955,19828.89,56814.65
FAC. DE ENFERMERIA,5390.0,15771.806096474924,9358.955562899748,725.47,8762.28,13181.03,21413.26,64993.9
ESCUELA PREPARATORIA # 9,7538.0,15751.176111700757,7368.694092151183,1039.71,10466.140000000001,14612.525,19463.9625,65394.43
WORLD TRADE CENTER MONTEREY-UANL,88.0,15711.140227272741,11753.81767931975,7184.08,10607.715,11496.195,14019.56,58697.17
CENTRO DE ESTUDIOS Y CERTIFICACIÓN DE LENGUAS EXTRANJERAS,651.0,15600.726129032268,7776.326845146358,7325.19,11596.525000000001,14000.51,17090.254999999997,67235.47
C.DE ESTUDIOS HUMANISTICOS,244.0,15591.806762295082,5655.643685139779,2895.11,11826.16,14995.69,16686.27,43505.89
FAC. DE MED. VETERINARIA Y ZOOT.,4927.0,15474.851599350532,9840.6175304874,291.75,8260.59,12309.03,19882.309999999998,70765.45
ESCUELA PREPARATORIA #18,2281.0,15352.351345900921,10010.84094373283,1786.85,8615.98,11987.01,20013.3,72179.05
DIRECCION DE SERVICIO SOCIAL Y PRACTICAS PROFESIONALES,1724.0,15342.39067285385,9535.734049797698,198.64,8616.032500000001,13056.255000000001,18909.47,78980.18
ESCUELA PREPARATORIA #25,4704.0,15331.469192176844,7961.5654270712,608.85,9584.94,14308.08,18854.6125,73978.23
DIRECCIÓN DE HUMANIDADES E HISTORIA,193.0,15304.09497409326,9566.64615148964,6584.27,8184.57,10405.41,19979.23,44443.24
FAC. DE CIENCIAS DE LA COMUNICACION,7638.0,15277.201246399565,8792.414743663898,637.65,8422.6525,13082.04,20027.87,64032.63
FAC. DE ING. CIVIL,8279.0,15151.602811933666,10614.858273369528,457.16,7952.469999999999,11587.78,20123.55,101727.07
CENTRO DE VINCULACION SOCIAL Y EMPRESARIAL,147.0,15046.292653061228,11265.906659456277,2809.47,8156.91,9407.48,20124.625,42621.55
ESCUELA PREPARATORIA # 8,5590.0,15012.29342754916,7203.205958938944,811.8,9617.69,14319.575,18570.01,58577.49
DIRECCIÓN DE SISTEMA DE ESTUDIOS DEL NIVEL MEDIO SUPERIOR,470.0,14900.53410638298,13630.459247242727,5254.38,8166.620000000001,10734.635,14896.19,79424.71
FAC. DE FILOSOFIA Y LETRAS,11894.0,14848.268658146755,10039.907446631263,405.9,7669.29,12065.795,20172.81,129748.17
SECRETARIA DE RELACIONES INTERNACIONALES,366.0,14841.45603825138,8138.11968306054,3258.05,9575.199999999999,12203.81,16516.46,47612.95
DIRECCION TECNICA DE LA RECTORIA,64.0,14785.362031250002,4090.0600159601727,8987.94,12552.53,14839.619999999999,16209.75,25491.41
ESCUELA PREPARATORIA #24,781.0,14777.40056338028,11693.970877826772,2671.05,7605.16,11188.1,17627.12,74210.18
ESCUELA PREPARATORIA #14,1119.0,14758.774316353925,9358.751153115933,924.43,8070.3,11835.75,18567.68,56302.98
FAC. DE CONTADURIA PUBLICA Y ADMON.,20089.0,14751.867493155298,8678.563532545495,474.28,8392.6,12085.65,19621.03,90982.69
FAC. DE PSICOLOGIA,8672.0,14726.3923270294,10513.789148503447,405.9,7506.825,10634.25,20618.98,80386.2
ESCUELA PREPARATORIA # 2,7387.0,14615.574563422191,7382.652212156428,1094.07,9442.465,12890.81,18291.155,67005.01
FAC. DE ORGANIZACION DEPORTIVA,7716.0,14591.433237428684,9842.51311553646,405.9,7946.08,11645.220000000001,18374.1625,111296.88
DIRECCIÓN DE EDUCACIÓN INCLUSIVA,44.0,14587.939545454543,9056.68667339502,1383.92,11519.76,12640.765,15699.21,53305.67
ESCUELA PREPARATORIA # 5,1303.0,14519.60029930925,8963.36079717274,350.98,8020.4400000000005,12425.6,18207.29,52934.28
C.DE INV.Y DES.DE ED.BILINGUE,2479.0,14503.07066962485,8174.759578393284,2903.41,9279.97,13294.46,17465.254999999997,77130.15
ESCUELA PREPARATORIA #22,9172.0,14502.174260793676,8124.934377966034,211.75,8537.79,12897.17,18981.989999999998,64545.72
DIRECCION GENERAL DE TECNOLOGÍAS Y DESARROLLO DIGITAL,2878.0,14371.618036831169,5401.396241185,2878.46,11424.79,12833.895,16535.7375,42239.32
CENTRO DE VINCULACIÓN Y EMPRESAS UNIVERSITARIAS,227.0,14238.254933920716,7906.927430025671,3041.28,8356.785,11432.85,16488.84,36845.52
CENTRO DE DESARROLLO INTEGRAL DEL ESTUDIANTE,16.0,14192.695625,4373.274965740539,5193.72,12714.3325,15036.619999999999,16428.0875,21989.8
FACULTAD DE DERECHO Y CRIMINOLOGIA,15658.0,14080.701622173712,9685.784967119442,364.69,7052.33,11098.69,20028.56,67797.71
ESCUELA PREPARATORIA #16,5182.0,14077.349654573505,8245.028897929207,1713.87,8554.467499999999,11798.1,17903.89,69367.2
ESCUELA PREPARATORIA #13,1824.0,14052.893152412284,9597.940149245398,356.27,7825.25,11114.895,17055.6275,68898.0
ESCUELA PREPARATORIA # 1,8444.0,13918.564409047785,7398.011689413458,248.05,8234.2,13181.875,17847.5725,70695.53
ESCUELA PREPARATORIA #12,2459.0,13896.574977633189,7257.738476580285,882.03,8882.575,12623.45,17029.760000000002,115258.74
DIRECCION DE COMUNICACION INSTITUCIONAL,1080.0,13876.772685185193,9373.538192160726,928.04,8388.445,10747.305,15639.3475,69085.55
FACULTAD DE SALUD PUBLICA Y NUTRICION,6578.0,13787.696391000241,9816.857427795514,547.04,7154.7925000000005,10567.56,18748.932500000003,78631.96
FAC. DE ARQUITECTURA,17011.0,13775.756979601543,8844.570591957421,223.93,7085.51,11760.43,18823.504999999997,79814.57
´CAPILLA ALFONSINA´ BIBLIOTECA UNIVERSITARIA,664.0,13694.670512048206,4459.250246793439,311.22,11267.192500000001,12729.4,16100.4375,35182.17
ESCUELA PREPARATORIA #21,1245.0,13665.748473895548,8469.295701538962,388.77,7722.65,10856.47,17541.04,58329.82
ESCUELA Y PREPARATORIA TECNICA MEDICA,8032.0,13649.44819347606,8605.382367934819,294.44,7816.07,11434.05,17717.4625,73983.28
POLIDEPORTIVO TIGRES ´ESCOBEDO´,401.0,13637.256458852851,5076.767829600491,4085.71,10405.41,12774.07,16163.13,41026.89
ESCUELA PREPARATORIA # 7,10164.0,13611.623139512001,7635.308596231941,409.32,8211.63,11482.155,17490.44,64638.02
ESCUELA PREPARATORIA # 3,8855.0,13610.683447769557,8401.437125235563,415.39,7971.055,11359.38,16779.375,68582.59
DIRECCION DE CONSTRUCCION Y MANTENIMIENTO,2119.0,13574.228400188747,7887.699535950324,265.57,9364.48,11422.84,16406.765,92363.16
ESCUELA PREPARATORIA #19,2106.0,13404.799434947847,6681.489493383039,2007.52,8438.765,12453.42,16482.0,54550.87
FAC. DE ARTES VISUALES,4990.0,13381.782751503055,8165.070281602792,1008.31,8146.0275,10914.18,16620.875,68648.0
DIRECCION DE INVESTIGACION,957.0,13373.028014629042,8579.062181323541,2979.15,9125.3,11767.33,14808.82,81399.29
CTRO. DE INF. DE HISTORIA REGIONAL,558.0,13352.500860215025,6272.916342575101,3196.35,9336.305,11640.285,15007.552500000002,41431.09
DIRECCION DE RECURSOS HUMANOS Y NOMINAS,1831.0,13313.7955434189,8143.741899792644,383.4,8399.55,11428.08,15071.83,78631.13
DIRECCION DE RADIO Y TELEVISION UNIVERSITARIA,772.0,13313.43432642486,4763.387426115709,1288.45,9315.3425,12639.76,16033.83,40526.18
FAC. DE ARTES ESCENICAS,2400.0,13296.429900000005,9223.491222361674,1252.0,7481.085,10405.41,16267.58,68377.74
ESCUELA PREPARATORIA # 6,1682.0,13189.298775267534,7905.969684742267,2906.55,8210.657500000001,10856.49,15386.9475,55938.54
IMAGEN INSTITUCIONAL,438.0,13145.073105022839,4275.154799493892,2694.8,10620.3475,13008.384999999998,15659.8125,28708.68
ESC.IND.Y PREPA.TEC.ALVARO OBREGON,21477.0,13136.464282721126,7824.823355165493,205.36,7767.26,10788.57,17009.2,70605.09
ESCUELA INDUSTRIAL Y PREPARATORIA TECNICA PABLO LIVAS,8740.0,13107.318409611034,7210.077721729221,437.69,7975.1,11793.8,16882.66,66060.03
DEPARTAMENTO DE BECAS,1883.0,13075.725857673953,8870.176529256023,1039.07,8562.475,11169.73,15073.61,81558.24
DIRECCIÓN DEL SISTEMA DE ESTUDIOS DE LICENCIATURA,708.0,13040.70361581921,7084.381889839559,4604.03,10081.907500000001,11629.72,13453.02,70136.47
FAC. DE MUSICA,3865.0,13032.825283311839,9934.537555891055,189.65,6663.71,10178.13,16843.78,69288.06
ESCUELA PREPARATORIA #10,1056.0,12994.767689393952,10477.808256289083,1217.2,7442.55,9313.78,14549.25,70729.44
AUDITORIA INTERNA DE LA U.A.N.L.,2708.0,12993.491938700148,6173.853284531709,2694.8,9408.95,11661.4,14398.27,68323.61
SECRETARIA ACADEMICA,2427.0,12863.099946435923,11600.878130903071,583.16,7266.81,9522.79,13257.0,104335.86
DIRECCIÓN DE LA UNIDAD PARA LA IGUALDAD DE GÉNERO,12.0,12844.7875,2571.7225914554383,11335.53,11630.0225,11818.46,12043.0625,18490.34
SECRETARÍA DE IGUALDAD E INCLUSIÓN,24.0,12780.402916666668,4763.174742647541,3445.96,8627.9725,11726.24,15361.8425,25681.21
CTRO. DE INVESTIGACIÓN; INNOVACIÓN Y DESARROLLO DE LAS ARTES,710.0,12748.311647887349,9539.998622318377,967.91,8234.1,10647.21,12783.85,62636.06
SECRETARIA DE EXT.Y CULTURA,2304.0,12704.787651909754,8469.323161887485,2731.28,8549.0175,10709.885,13932.51,97556.97
ESCUELA PREPARATORIA # 4,3500.0,12693.139774285695,7003.638134046802,1007.6,7622.58,11423.825,15813.935000000001,62421.18
DIRECCIÓN DE EMPRENDIMIENTO Y DESARROLLO EMPRESARIAL,156.0,12579.836858974359,4921.723818626152,2890.03,8727.8475,11579.425,16193.2,26971.67
DIRECCIÓN DE EDUCACIÓN DIGITAL,883.0,12539.331109852748,5136.01028412943,1612.7,10026.69,11718.56,14237.1,58938.69
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,360.0,12454.441083333333,5296.2067104535945,5045.3,9000.7325,11515.42,14706.0475,35590.67
DIRECCION DE BIBLIOTECAS,4639.0,12284.209336063788,7259.778801881595,1015.33,8044.99,11084.51,14478.79,84383.72
DIRECCION DE DEPORTES,5200.0,12180.160786538463,7023.7111881506335,205.36,8526.54,10954.005000000001,13642.97,113355.29
DIRECCION DE DESARROLLO CULTURAL,1739.0,12170.393151236334,6525.32884322223,1897.33,8087.74,10052.01,14164.085,47664.5
POLIDEPORTIVO TIGRES ESCOBEDO,774.0,12027.754754521986,4569.342065615262,5244.06,9052.734999999999,11137.54,14423.42,38543.77
DIRECCION DE EDITORIAL UNIVERSITARIA,1099.0,12016.563011828952,5461.825647369159,4634.34,8234.1,10909.95,13834.825,35032.51
ORQUESTA SINFONICA,2698.0,11877.324077094101,3912.853359232655,326.27,9780.41,11301.9,13462.805,50610.28
CAPILLA ALFONSINA BIBLIOTECA UNIVERSITARIA,1928.0,11789.009434647305,6349.997557968535,1535.48,8349.56,10856.49,13747.877499999999,78959.29
CENTRO ACUATICO OLIMPICO UNIVERSITARIO,1649.0,11764.704360218295,4796.586404882931,1100.22,8650.88,11325.6,13178.33,46698.47
CENTRO DE FOMENTO GANADERO VALLECILLO,802.0,11662.01761845387,7621.724705596251,1934.2,7054.46,9646.92,13629.28,46985.0
DIRECCION DE TECNOLOGIAS DE INFORMACION,2977.0,11455.84878736978,7167.612912676498,2218.23,8313.11,10425.05,12575.14,95931.77
CENTRO DE EVALUACIONES,797.0,11336.362710163088,7798.809054312105,1299.26,7807.16,9466.1,12346.93,74571.93
DIRECCIÓN DE INNOVACIÓN Y DESARROLLO DE MODELOS TECNOLÓGICOS,154.0,11331.97266233767,4591.773672392957,1855.44,8170.717500000001,10590.675,12381.47,29739.15
CENTRO UNIVERSITARIO DE SALUD,7892.0,11244.955111505153,6442.348934528911,245.38,7716.16,10078.77,13266.45,108406.53
DIRECCION DE SERVICIOS MEDICOS,7123.0,11150.193014179205,4940.90236740049,177.2,8080.325,9818.32,13428.66,61731.77
CENTRO DE INVESTIGACION Y DESARROLLO EN CIENCIAS DE LA SALUD,1434.0,11148.526799163157,5957.596913809883,1382.31,8213.76,10709.470000000001,12300.0075,72298.97
ESCUELA PREPARATORIA #11,897.0,11134.946934225183,7232.400314604976,2549.62,7212.66,8688.56,12037.39,45888.24
DIRECCIÓN GENERAL DE RADIO Y TELEVISIÓN UNIVERSITARIA,2460.0,11064.513199186988,5000.872028653561,407.16,7614.16,10159.77,13330.16,43737.83
DIRECCION DE ACTIVIDADES ESTUDIANTILES,414.0,11013.48140096619,5558.059826631458,2699.14,8094.4825,9480.24,12052.7075,41051.55
CENTRO DE ACONDICIONAMIENTO FISICO MAGISTERIAL,1060.0,10931.517867924516,3998.43184893705,3430.14,7984.08,10471.07,13473.57,27592.07
TEATRO UNIVERSITARIO,1103.0,10873.276872166827,8876.62389296319,2611.44,6938.375,8717.98,10864.93,67532.31
DIRECCIÓN DE FORMACIÓN INTEGRAL AL ESTUDIANTE,248.0,10829.199677419345,9491.356657299562,4453.98,6534.79,8024.16,12277.8275,67925.31
DIRECCION DE PREVENCION Y PROTECCION UNIVERSITARIA,3127.0,10679.489593859937,6319.263643110844,2618.34,7670.49,9590.82,11564.54,70171.73
DIRECCIÓN DE ESTUDIOS INCORPORADOS,119.0,10627.035546218493,2799.185992599258,3615.63,8175.335,11041.59,12013.41,20415.87
DEPARTAMENTO ESCOLAR Y DE ARCHIVO,4093.0,10623.686007818253,9337.7952629584,705.27,6953.71,8118.32,10537.4,97422.5
GIMNASIO DE AREA MEDICA,919.0,10338.280990206755,5259.311475467585,1384.96,6704.465,9658.4,12566.585,42243.75
CENTRO DE INVESTIGACION EN PRODUCCION AGROPECUARIA,2335.0,10079.712603854417,4625.9209497560205,2483.47,7299.620000000001,9261.54,11325.6,48030.17
LIBRERIA UNIVERSITARIA,2523.0,10034.046726119761,5276.015473000173,1684.2,7129.99,8533.36,11434.835,53411.65
DEPTO. DE PERSONAL,965.0,9985.949264248693,5581.7990668271605,1868.27,7582.6,8584.66,10465.58,43292.89
DIRECCION DE SERVICIOS GENERALES,2572.0,9973.733044323508,4870.261604459524,2597.12,7716.16,9174.13,10922.32,52132.62
HOSPITAL UNIVERSITARIO,105549.0,9631.38324872844,4168.2079644408195,175.41,6946.2,8629.98,11622.83,85007.77
JUNTA DE GOBIERNO,142.0,9432.12612676057,2389.8157139957,3702.8,7871.595,9223.75,10399.057499999999,18726.03
DIRECCION DEL PROGRAMA DE FUTBOL AMERICANO,931.0,9385.531890440396,4804.515065125865,1570.51,6415.04,8762.28,10813.22,38072.02
IMPRENTA UNIVERSITARIA,762.0,9234.470104986876,3235.2896621896484,3941.72,7225.5375,8483.905,11257.192500000001,24300.94
DIRECCIÓN DE PLANEACIÓN ESTRATÉGICA EN INNOVACIÓN,22.0,8792.027727272729,2051.2541517602435,6482.2,6840.66,9172.650000000001,10385.23,13266.21
